state,state_name,assessment,subject,grade,school_year,administration_year,below_basic_analog_label,below_basic_analog_pct,official_statewide_grade3_ela_advanced_or_proficient_pct,official_enrollment,official_statewide_grade3_ela_participation_rate,source_notes,source_url,source_page_url,official_statewide_grade3_ela_level3_or_4_pct,official_statewide_grade3_ela_standard_met_or_exceeded_pct,official_with_scores,official_statewide_grade3_ela_met_or_exceeded_pct,official_total_students,official_valid_test_takers,official_number_scored,official_statewide_grade3_ela_level2_or_above_pct,official_statewide_grade3_ela_level3_or_above_pct,official_statewide_grade3_ela_level4_or_5_pct,official_statewide_grade3_ela_met_achievement_standard_pct,official_statewide_grade3_ela_proficient_or_distinguished_pct,official_statewide_grade3_ela_at_or_above_proficiency_pct,official_statewide_grade3_reading_proficient_or_distinguished_pct,official_statewide_grade3_ela_mastery_or_advanced_pct,official_statewide_grade3_ela_proficient_pct,official_statewide_grade3_ela_proficient_or_advanced_pct,official_not_tested,official_statewide_grade3_ela_percent_proficient_pct,official_statewide_grade3_reading_grade_level_proficient_pct,official_statewide_grade3_ela_percent_proficient_or_above_pct,official_statewide_grade3_ela_meets_or_exceeds_pct,official_statewide_grade3_rla_approaches_or_above_pct,official_statewide_grade3_rla_meets_or_above_pct,official_statewide_grade3_rla_masters_pct,official_statewide_grade3_reading_advanced_pct,official_statewide_grade3_reading_proficient_pct,official_statewide_grade3_reading_passed_pct,official_statewide_grade3_ela_level3_or_4_tested_only_pct,official_statewide_grade3_ela_meets_standard_or_above_pct,official_statewide_grade3_ela_meeting_or_advanced_tested_only_pct
AK,Alaska,AK STAR,ELA,03,2024-2025,2025,Needs Support,36.3,28.68,9861.0,83.76,"Alaska publishes exact statewide Grade 3 AK STAR ELA performance-level percentages in the 2025 assessment brief. The companion statewide results page reports the Grade 3 Advanced/Proficient share, enrollment, and participation rate. The published exact bins sum to 28.7 percent proficient or advanced, consistent with the results page's 28.68 percent.",https://education.alaska.gov/akassessments/AKAssessment_Brief_2025.pdf,https://education.alaska.gov/assessment-results/Statewide/StatewideResults?isScience=False&schoolYear=2024-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,Alabama,ACAP,ELA,03,2024-2025,2025,Level 1,9.0,,,,Alabama's official 2024-25 state assessment overview reports statewide Grade 3 ACAP ELA percentages for Levels 1 through 4. Published percentages sum to 99% because of rounding.,https://www.alabamaachieves.org/wp-content/uploads/2025/07/SBOE_20250716_2024-2025-Student-Assessment-State-Data-Overview_v1.0.pdf,https://www.alabamaachieves.org/assessment/acap/,,,,,,55930.0,,,,,,,,,,,,,66.0,,,,,,,,,,,,
AR,Arkansas,ATLAS,ELA,03,2024-2025,2025,Level 1,29.3,,,,Arkansas publishes exact statewide Grade 3 ATLAS ELA performance-level percentages in the annual summary workbook.,https://dese.ade.arkansas.gov/Files/Atlas_Summary_Post-Corrections_Scores_Spring_2025_PSA.xlsx,https://dese.ade.arkansas.gov/Offices/public-school-accountability/assessment-test-scores/2025,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZ,Arizona,AASA,ELA,03,2024-2025,2025,Minimally Proficient,51.7,,,,"Arizona's official AASA 2025 technical report, Table C.1, reports statewide Grade 3 ELA counts and percentages for all four performance levels.",https://www.azed.gov/sites/default/files/2026/04/AASA_2025_Technical_Report.pdf,https://www.azed.gov/assessment/assessments/aasa,,,,,,79299.0,,,,,,,,,,,,,35.9,,,,,,,,,,,,
CA,California,CAASPP,ELA,03,2024-2025,2025,100 - Standard Met/Exceeded,56.0,,,,California's 2025 CAASPP ELA statewide Grade 3 workbook publishes WithScores and Standard Met/Exceeded only. The public workbook used here does not expose the full statewide performance-level split. The below-basic analog remains a not-met proxy defined here as 100 - Standard Met/Exceeded.,https://www.cde.ca.gov/ta/tg/ca/documents/elaallall2025.xlsx,https://www.cde.ca.gov/ta/tg/ca/caaspp2025datasummary.asp,,44.0,405924.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO,Colorado,CMAS,ELA,03,2024-2025,2025,Did Not Yet Meet Expectations,22.4,,,,Exact tier percentages are reported directly in the Colorado CMAS statewide workbook.,https://resources.finalsite.net/files/t_file_download/v1776115348/cdestatecous/rrkmbmijrknlrhuvzk4e/2025CMASMathELACSLADistrictandSchoolSummaryAchievementResults.xlsx,https://ed.cde.state.co.us/assessment/cmas-dataandresults-2025,,,,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT,Connecticut,Smarter Balanced,ELA,03,2024-2025,2025,Level 1 Not Met,30.7,,,99.4,"Connecticut EdSight's public Smarter Balanced report publishes the statewide Grade 3 ELA performance-level percentages directly for All Students. The saved extract also reports 36945.0 total students, 36719.0 tested, 36713.0 scored tests, and an average VSS of 2420.0.",https://edsight.ct.gov/SASStoredProcess/guest?_grade=3&_year=2024-25&_district=State+of+Connecticut&_school=&_subject=ELA&_subgroup=All+Students&_program=%2FCTDOE%2FEdSight%2FRelease%2FReporting%2FPublic%2FReports%2FStoredProcesses%2FSmarterBalancedAssessmentReport_SiteCore&_select=Submit,https://public-edsight.ct.gov/performance/smarter-balanced-achievement-participation,,,,46.9,36945.0,36719.0,36713.0,,,,,,,,,,,,,,,,,,,,,,,,
DC,District of Columbia,DC CAPE,ELA,03,2024-2025,2025,Did Not Yet Meet Expectations,34.4,,,,"OSSE publishes exact statewide Grade 3 DC CAPE ELA performance levels on the Performance Level sheet. Those exact tiers are DC CAPE-only; OSSE's separate Meeting/Exceeding tab combines DC CAPE and MSAA, so its 30.4 percent proficiency figure is slightly above the DC CAPE-only Level 4+5 total. The companion all-tests Meeting/Exceeding row reports 30.4 percent proficient across DC CAPE plus MSAA.",https://app.box.com/index.php?rm=box_download_shared_file&shared_name=l1fz6ucfcut7q7pg8qzbo3l9ffb19pmm&file_id=f_1962534999838,https://osse.dc.gov/node/1794106,,,,30.2,,6650.0,,65.6,48.5,30.2,,,,,,,,,,,,,,,,,,,,,
DE,Delaware,Smarter Balanced,ELA,03,2024-2025,2025,100 - Met Achievement Standard,61.28,,,,"Delaware's public statewide Grade 3 ELA rows expose a proficiency figure but not the full statewide performance-level split, so the below-basic analog is filled as 100 - Met Achievement Standard.",https://data.delaware.gov/api/views/ms6b-mt82/rows.csv?accessType=DOWNLOAD,https://education.delaware.gov/educators/academic-support/standards-and-assessments/english-and-language-arts/assessments/,,,,,,,,,,,38.72,,,,,,,,,,,,,,,,,,,,
FL,Florida,FAST,ELA,03,2024-2025,2025,Level 1,22.0,,,,Florida publishes exact statewide Grade 3 FAST ELA PM3 percentages for Levels 1 through 5 in the statewide district workbook.,https://origin.fldoe.org/core/fileparse.php/5668/urlt/3ELA03SRDSpring25.xls,https://www.fldoe.org/accountability/assessments/k-12-student-assessment/results/2025.stml,,,,,,,,78.0,57.0,,,,,,,,,,,,,,,,,,,,,,
